respondent_id,survey_language,participated_2025,gender,age_group,experience_group,specialization,grade,current_industry,city,employer_preference,main_decision_source,survey_score,ready_for_followup
676,rus,Нет,Женщина,22 - 26,3 - 6,Продакт менеджмент,Middle,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Да
677,rus,Нет,Мужчина,27 - 31,7 - 10,QA тестирование,Junior,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
678,rus,Нет,Женщина,27 - 31,7 - 10,ИТ архитектура,Team Lead,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
679,rus,Нет,Женщина,27 - 31,3 - 6,Data Science | Аналитик данных,Middle,ИТ продуктовая компания,Астана,Не вижу разницы,Другое: Сильная компания на рынке по моей отрасли,5,Нет
680,kaz,Нет,Женщина,22 - 26,Менее 2 лет,Маркетинг | SMM | SEO,Middle,ИТ продуктовая компания,Астана,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",4,Нет
681,rus,Нет,Мужчина,27 - 31,3 - 6,QA тестирование,Middle,ИТ продуктовая компания,Астана,Не вижу разницы,Рейтинги,4,Нет
682,rus,Нет,Женщина,32 - 36,3 - 6,Маркетинг | SMM | SEO,Tribe Leader,Разработка ПО | IT Outsourcing,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",3,Нет
683,rus,Нет,Мужчина,42 - 46,15 - 19,DevOps | Системное администрирование,Team Lead,Другое,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
684,rus,Нет,Мужчина,27 - 31,7 - 10,DevOps | Системное администрирование,Senior,Телекоммуникации,Петропавловск,Только казахстанская компания,Рекомендации и отзывы сотрудников (нынешних или бывших),5,Да
685,rus,Нет,Мужчина,32 - 36,11 - 14,DevOps | Системное администрирование,Senior,Разработка ПО | IT Outsourcing,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Да
686,rus,Нет,Мужчина,27 - 31,3 - 6,Frontend разработка,Team Lead,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",3,Нет
687,rus,Нет,Мужчина,32 - 36,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Junior,Финансовый сектор (банк / брокер / страховая компания),Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",5,Да
688,rus,Да,Женщина,37 - 41,3 - 6,Маркетинг | SMM | SEO,C-level,Другое,Алматы,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",3,Нет
689,rus,Нет,Мужчина,27 - 31,7 - 10,Backend разработка,Senior,Другое,Алматы,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
690,rus,Нет,Женщина,22 - 26,Менее 2 лет,Аналитика (бизнес аналитик / системный аналитик),Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
691,rus,Нет,Женщина,Младше 21,Менее 2 лет,Маркетинг | SMM | SEO,Junior,Телекоммуникации,Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
692,kaz,Да,Мужчина,22 - 26,3 - 6,DevOps | Системное администрирование,Middle,Телекоммуникации,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",5,Да
693,rus,Нет,Женщина,22 - 26,Менее 2 лет,Data Science | Аналитик данных,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Реклама компании на профессиональных мероприятиях и митапах, Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
694,rus,Да,Мужчина,37 - 41,15 - 19,Backend разработка,Senior,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
695,rus,Нет,Мужчина,27 - 31,3 - 6,Проектный менеджмент,Middle,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",4,Нет
696,rus,Нет,Женщина,22 - 26,3 - 6,Продакт менеджмент,Middle,Другое,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
697,rus,Да,Мужчина,22 - 26,3 - 6,Продакт менеджмент,Senior,Fintech,Астана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Да
698,rus,Нет,Мужчина,27 - 31,3 - 6,Продакт менеджмент,Senior,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Личный бренд основателя или руководителя компании",4,Да
699,rus,Нет,Мужчина,32 - 36,7 - 10,Продакт менеджмент,Team Lead,Разработка ПО | IT Outsourcing,Алматы,Только иностранная компания (в Казахстане),"Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
700,rus,Нет,Женщина,27 - 31,3 - 6,Продакт менеджмент,Middle,E-commerce | Логистика,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
701,rus,Нет,Женщина,37 - 41,7 - 10,Web-design | UX/UI,Senior,ИТ продуктовая компания,Караганда,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
702,rus,Нет,Женщина,22 - 26,3 - 6,QA тестирование,Middle,Телекоммуникации,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
703,rus,Нет,Мужчина,37 - 41,7 - 10,Мобильная разработка,Middle,Fintech,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Да
704,rus,Нет,Мужчина,32 - 36,15 - 19,Продакт менеджмент,C-level (CEO + CEO-1),ИТ продуктовая компания,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
705,rus,Нет,Женщина,27 - 31,7 - 10,Продакт менеджмент,Senior,Другое,Астана,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Официальный сайт компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
706,rus,Нет,Мужчина,27 - 31,3 - 6,Продакт менеджмент,C-level,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",3,Да
707,rus,Нет,Мужчина,32 - 36,7 - 10,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
708,rus,Нет,Мужчина,37 - 41,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Middle,Финансовый сектор (банк / брокер / страховая компания),Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Нет
709,rus,Нет,Женщина,32 - 36,Менее 2 лет,Аналитика (бизнес аналитик / системный аналитик),Middle,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
710,rus,Нет,Женщина,27 - 31,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Middle,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
711,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Backend разработка,Junior,E-commerce | Логистика,Астана,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Личный бренд основателя или руководителя компании",4,Да
712,rus,Нет,Мужчина,Старше 46,Более 20 лет,ИТ архитектура,Team Lead,Телекоммуникации,Астана,Только казахстанская компания,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
713,rus,Нет,Мужчина,32 - 36,11 - 14,Аналитика (бизнес аналитик / системный аналитик),Senior,ИТ продуктовая компания,Астана,Не вижу разницы,Рекомендации и отзывы сотрудников (нынешних или бывших),5,Нет
714,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Frontend разработка,Junior,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",5,Да
715,rus,Нет,Мужчина,27 - 31,7 - 10,Продакт менеджмент,Senior,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
716,rus,Да,Женщина,27 - 31,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
717,kaz,Да,Женщина,27 - 31,7 - 10,Продакт менеджмент,Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
718,rus,Нет,Мужчина,Младше 21,3 - 6,Backend разработка,Junior,ИТ продуктовая компания,Астана,Не вижу разницы,Рейтинги,5,Да
719,rus,Нет,Мужчина,32 - 36,11 - 14,Backend разработка,Senior,Разработка ПО | IT Outsourcing,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
720,rus,Нет,Мужчина,32 - 36,11 - 14,Проектный менеджмент,Senior,Финансовый сектор (банк / брокер / страховая компания),Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",5,Да
721,rus,Да,Мужчина,Старше 46,Более 20 лет,ИТ архитектура,Senior,Телекоммуникации,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",5,Нет
722,rus,Нет,Мужчина,32 - 36,11 - 14,Продакт менеджмент,C-level (CEO + CEO-1),ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",5,Нет
723,rus,Нет,Мужчина,Младше 21,3 - 6,Data Science | Аналитик данных,Senior,Нефтегазовая / Химическая промышленность / Нефтесервис,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",4,Нет
724,rus,Да,Женщина,32 - 36,3 - 6,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),Разработка ПО | IT Outsourcing,Астана,Только иностранная компания (в Казахстане),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",2,-
725,rus,Нет,Мужчина,32 - 36,7 - 10,Продакт менеджмент,Team Lead,Строительство / Инжиниринг / Сервис,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",2,-
726,kaz,Нет,Мужчина,37 - 41,11 - 14,Продакт менеджмент,Middle,Телекоммуникации,Актобе,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
727,rus,Нет,Мужчина,42 - 46,Более 20 лет,Backend разработка,Senior,ИТ продуктовая компания,Астана,Только казахстанская компания,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
728,kaz,Нет,Мужчина,22 - 26,Менее 2 лет,Data Science | Аналитик данных,Middle,Телекоммуникации,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",3,Да
729,rus,Нет,Мужчина,27 - 31,7 - 10,Backend разработка,Senior,Разработка ПО | IT Outsourcing,Живу за пределами Казахстана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании",3,Нет
730,rus,Да,Мужчина,27 - 31,3 - 6,Проектный менеджмент,Senior,Другое,Астана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Да
731,rus,Да,Мужчина,27 - 31,3 - 6,Проектный менеджмент,Senior,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
732,rus,Нет,Женщина,22 - 26,3 - 6,Web-design | UX/UI,Middle,Образование / EdTech,Астана,Только казахстанская компания,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
733,rus,Нет,Женщина,42 - 46,Более 20 лет,Аналитика (бизнес аналитик / системный аналитик),Senior,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,Личный опыт использования цифрового продукта или услуги компании,5,Да
734,rus,Нет,Мужчина,22 - 26,7 - 10,Проектный менеджмент,Senior,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Личный опыт использования цифрового продукта или услуги компании",5,Да
735,rus,Нет,Мужчина,22 - 26,3 - 6,Data Science | Аналитик данных,Middle,Телекоммуникации,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",4,Да
736,rus,Нет,Женщина,27 - 31,3 - 6,Маркетинг | SMM | SEO,Middle,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",3,Да
737,rus,Нет,Мужчина,32 - 36,3 - 6,Backend разработка,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
738,rus,Нет,Женщина,22 - 26,3 - 6,Backend разработка,Middle,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",4,Да
739,rus,Нет,Мужчина,32 - 36,3 - 6,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),Нефтегазовая / Химическая промышленность / Нефтесервис,Астана,Не вижу разницы,"Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Да
740,rus,Нет,Женщина,42 - 46,7 - 10,HR | ИТ подбор,Senior,Телекоммуникации,Алматы,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Реклама компании на профессиональных мероприятиях и митапах",5,Нет
741,kaz,Да,Женщина,32 - 36,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Middle,Телекоммуникации,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Реклама компании на профессиональных мероприятиях и митапах, Личный опыт использования цифрового продукта или услуги компании",5,Нет
742,rus,Нет,Мужчина,32 - 36,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Senior,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
743,rus,Нет,Женщина,37 - 41,15 - 19,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,E-commerce | Логистика,Ташкент,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Да
744,rus,Нет,Мужчина,37 - 41,15 - 19,Аналитика (бизнес аналитик / системный аналитик),Middle,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
745,rus,Нет,Мужчина,32 - 36,11 - 14,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,Телекоммуникации,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",1,-
746,rus,Нет,Мужчина,27 - 31,3 - 6,QA тестирование,Middle,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",5,Да
747,rus,Нет,Мужчина,32 - 36,7 - 10,Проектный менеджмент,Middle,Fintech,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Личный опыт использования цифрового продукта или услуги компании",4,Нет
748,rus,Нет,Мужчина,27 - 31,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Senior,Fintech,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Личный бренд основателя или руководителя компании, Рейтинги",4,Да
749,rus,Нет,Мужчина,37 - 41,7 - 10,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,Fintech,Живу за пределами Казахстана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
750,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Аналитика (бизнес аналитик / системный аналитик),Middle,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Нет
751,rus,Нет,Мужчина,32 - 36,7 - 10,Data Science | Аналитик данных,Senior,Телекоммуникации,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
752,rus,Нет,Женщина,22 - 26,Менее 2 лет,Проектный менеджмент,Junior,Телекоммуникации,Астана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
753,rus,Да,Женщина,22 - 26,3 - 6,ИТ безопасность,Team Lead,ИТ продуктовая компания,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
754,rus,Да,Мужчина,27 - 31,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Middle,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
755,rus,Нет,Мужчина,37 - 41,15 - 19,Backend разработка,Senior,Fintech,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
756,rus,Нет,Мужчина,22 - 26,3 - 6,Продакт менеджмент,Middle,Другое,Астана,Не вижу разницы,"Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",3,Да
757,rus,Нет,Мужчина,42 - 46,7 - 10,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
758,rus,Да,Мужчина,32 - 36,7 - 10,Маркетинг | SMM | SEO,C-level (CEO + CEO-1),Горнодобывающая промышленность,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Официальный сайт компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
759,rus,Нет,Мужчина,32 - 36,7 - 10,ИТ архитектура,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
760,rus,Нет,Женщина,37 - 41,7 - 10,Проектный менеджмент,Middle,Разработка ПО | IT Outsourcing,Атырау,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
761,rus,Да,Женщина,32 - 36,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Senior,Другое,Алматы,Только иностранная компания (в Казахстане),"Личный бренд основателя или руководителя компании, Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
762,rus,Нет,Мужчина,32 - 36,11 - 14,ИТ архитектура,C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
763,rus,Нет,Мужчина,32 - 36,11 - 14,Data Science | Аналитик данных,Senior,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Личный опыт использования цифрового продукта или услуги компании",5,Нет
764,rus,Нет,Мужчина,32 - 36,11 - 14,Backend разработка,Senior,Другое,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Личный опыт использования цифрового продукта или услуги компании",3,Да
